time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-07-30T17:37:32.310Z,37.4891667,-121.8526667,7.33,1.52,md,19,66,0.04268,0.11,nc,nc71131054,2023-08-01T00:24:16.178Z,"8 km NE of Milpitas, CA",earthquake,0.34,0.59,0.093,6,reviewed,nc,nc
2023-07-30T17:37:13.770Z,37.4911667,-121.8426667,7.81,2.3,md,88,64,0.04259,0.08,nc,nc73918376,2023-08-01T03:04:14.141Z,"9 km NE of Milpitas, CA",earthquake,0.1,0.23,0.2,76,reviewed,nc,nc
2023-07-30T17:14:00.100Z,46.8335,-112.2545,8.33,1.59,ml,7,218,0.09978,0.11,mb,mb90022883,2023-07-31T15:33:18.460Z,"Western Montana",earthquake,0.64,0.99,0.0970592281981453,5,reviewed,mb,mb
2023-07-30T15:07:19.770Z,32.5986667,-115.3135,15.77,2.15,ml,30,49,0.1155,0.27,ci,ci39625642,2023-07-31T17:07:14.090Z,"5 km NE of Puebla, B.C., MX",earthquake,0.39,0.62,0.198,28,reviewed,ci,ci
2023-07-30T13:49:04.320Z,37.2561667,-121.6323333,5.88,3.61,mw,141,34,0.03266,0.09,nc,nc73918291,2023-10-07T21:38:55.040Z,"14 km N of Morgan Hill, CA",earthquake,0.08,0.17,,6,reviewed,nc,nc
2023-07-30T13:48:58.520Z,36.456,-89.5308333333333,8.87,1.94,md,28,35,0.06759,0.07,nm,nm60540321,2023-07-30T15:20:02.670Z,"10 km NNW of Tiptonville, Tennessee",earthquake,0.43,0.6,0.058940284020365,21,reviewed,nm,nm
2023-07-30T13:03:53.232Z,37.3047,-115.271,5.3,1.9,ml,15,91.84,0.508,0.3624,nn,nn00863733,2024-01-18T20:35:43.727Z,"11 km SW of Alamo, Nevada",earthquake,,7.5,0.17,9,reviewed,nn,nn
2023-07-30T12:53:41.080Z,36.1778333,-120.2493333,9.54,1.56,md,30,200,0.04786,0.07,nc,nc73918281,2023-08-01T00:12:15.104Z,"11 km ENE of Coalinga, CA",earthquake,0.35,0.21,0.414,25,reviewed,nc,nc
2023-07-30T12:39:10.635Z,31.61431077,-104.0976685,6.080151367,2.2,ml,15,59,0.03357607304,0.1,tx,tx2023ouqs,2023-07-31T14:52:06.477Z,"44 km NW of Toyah, Texas",earthquake,0.6070766751,0.6204334921,0.1,26,reviewed,tx,tx
2023-07-30T12:16:01.930Z,32.6026667,-116.8751667,14.2,1.63,ml,25,91,0.04671,0.18,ci,ci39625554,2023-07-31T20:27:11.445Z,"13 km S of Jamul, CA",earthquake,0.3,0.48,0.272,21,reviewed,ci,ci
2023-07-30T12:08:55.510Z,36.1803333,-120.2483333,9.69,1.65,md,23,207,0.05041,0.07,nc,nc73918271,2023-07-31T21:39:15.197Z,"11 km ENE of Coalinga, CA",earthquake,0.42,0.24,0.354,21,reviewed,nc,nc
2023-07-30T11:25:48.183Z,37.186,-115.0169,15.7,1.5,ml,13,124.46,0.691,0.279,nn,nn00863730,2023-07-31T17:43:59.552Z,"23 km SSE of Alamo, Nevada",earthquake,,2.5,0.21,7,reviewed,nn,nn
2023-07-30T11:16:21.190Z,40.2531667,-121.1396667,5.8,2.39,md,44,40,0.007005,0.21,nc,nc73918256,2023-07-31T22:22:15.446Z,"4 km WSW of Hamilton Branch, CA",earthquake,0.3,0.41,0.15,43,reviewed,nc,nc
2023-07-30T10:44:36.034Z,32.37030029,-101.6626572,7.898885091,1.9,ml,17,45,0.04928467559,0.1,tx,tx2023oumy,2023-07-31T18:28:19.305Z,"18 km SSE of Ackerly, Texas",earthquake,1.09924431,0.9938176639000001,0.1,7,reviewed,tx,tx
2023-07-30T10:34:40.910Z,34.2211667,-119.5481667,-0.06,2.4,ml,43,135,0.1797,0.26,ci,ci39625522,2023-07-31T16:16:48.479Z,"20 km S of Carpinteria, CA",earthquake,0.41,0.58,0.117,53,reviewed,ci,ci
2023-07-30T10:28:51.490Z,36.1763333,-120.2548333,9.19,1.55,md,21,208,0.04625,0.06,nc,nc73918231,2023-07-31T23:17:19.757Z,"10 km ENE of Coalinga, CA",earthquake,0.6,0.33,0.378,20,reviewed,nc,nc
2023-07-30T09:59:44.300Z,40.7576667,-124.4135,23.56,2.37,md,31,207,0.158,0.09,nc,nc73918221,2023-07-31T22:09:15.370Z,"19 km W of Humboldt Hill, CA",earthquake,0.47,0.36,0.334,42,reviewed,nc,nc
2023-07-30T08:50:29.850Z,44.5833333333333,-112.542166666667,5.95,1.56,ml,8,125,0.08025,0.04,mb,mb90022878,2023-07-30T13:31:44.180Z,"7 km SSE of Lima, Montana",earthquake,0.27,0.65,0.219593027866064,14,reviewed,mb,mb
2023-07-30T08:10:57.625Z,31.97375916,-104.026576,7.596923828000001,1.8,ml,15,74,0.03885653253,0.1,tx,tx2023ouhv,2023-08-01T09:32:52.085Z,"28 km S of Malaga, New Mexico",earthquake,0.9316264238,0.8629645456000001,0.1,22,reviewed,tx,tx
2023-07-30T07:26:11.180Z,35.7151667,-117.5196667,7.13,1.68,ml,31,67,0.09272,0.22,ci,ci39625466,2023-07-31T15:16:35.865Z,"12 km WSW of Searles Valley, CA",earthquake,0.25,0.83,0.121,19,reviewed,ci,ci
2023-07-30T07:23:35.906Z,32.0993042,-101.4718702,0.0244547526,2.4,ml,46,45,0.1660224617,0.2,tx,tx2023ough,2023-07-31T10:37:11.092Z,"10 km W of Forsan, Texas",earthquake,0.754709425,1.207434584,0.1,28,reviewed,tx,tx
2023-07-30T07:01:22.280Z,39.7891667,-123.4138333,10.47,1.54,md,22,91,0.05545,0.1,nc,nc73918196,2023-07-31T19:21:14.578Z,"13 km NNE of Laytonville, CA",earthquake,0.25,0.46,0.279,20,reviewed,nc,nc
2023-07-30T06:43:55.255Z,38.4331,-118.8989,11.5,1.9,ml,8,85.94,0.359,0.1098,nn,nn00863726,2023-07-31T17:16:06.435Z,"26 km WSW of Hawthorne, Nevada",earthquake,,1.8,0.36,5,reviewed,nn,nn
2023-07-30T06:10:20.600Z,38.8245,-122.8046667,1.17,1.89,md,61,24,0.004366,0.06,nc,nc73918176,2023-07-31T23:44:13.913Z,"7 km NW of The Geysers, CA",earthquake,0.1,0.15,0.196,61,reviewed,nc,nc
2023-07-30T05:25:28.548Z,39.6111,-119.9715,7.1,1.6,ml,19,86.89,0.009,0.1511,nn,nn00863722,2023-07-31T02:03:35.484Z,"7 km S of Cold Springs, Nevada",earthquake,,0.8,0.28,8,reviewed,nn,nn
2023-07-30T04:07:51.530Z,37.5895,-118.4606667,7.71,1.65,md,28,66,0.09181,0.05,nc,nc73918146,2023-07-31T18:58:15.297Z,"20 km E of Toms Place, CA",earthquake,0.33,0.97,0.186,25,reviewed,nc,nc
2023-07-30T02:27:43.420Z,46.259,-122.06566666666667,2,2.19,ml,54,65,0.05234,0.2,uw,uw61936182,2023-07-30T04:36:47.690Z,"36 km SSE of Morton, Washington",earthquake,0.29,1.06,0.2198423694716587,35,reviewed,uw,uw
2023-07-30T02:11:16.678Z,38.1214,-117.8497,3.7,1.5,ml,8,117.97,0.12,0.2465,nn,nn00863717,2023-07-31T17:09:49.659Z,"37 km SE of Mina, Nevada",earthquake,,1.8,0.52,6,reviewed,nn,nn
2023-07-30T02:01:29.460Z,44.275,-114.829166666667,3.64,2.06,ml,9,103,0.773,0.22,mb,mb90022983,2023-07-31T20:51:08.440Z,"10 km NE of Stanley, Idaho",earthquake,0.66,3.84,0.306042579937843,8,reviewed,mb,mb
2023-07-30T01:58:50.239Z,32.354,-102.081,7.4463,1.6,ml,18,95,0.1,0.1,tx,tx2023otvo,2024-08-07T17:17:05.885Z,"37 km NW of Stanton, Texas",earthquake,0.7050009327413457,0.9623516892102018,0.2,18,reviewed,tx,tx
2023-07-30T01:28:11.100Z,37.6755,-119.4168333,22.47,1.91,md,15,147,0.2713,0.11,nc,nc73918081,2023-07-31T21:14:15.073Z,"16 km ESE of Yosemite Valley, CA",earthquake,0.43,1.09,0.3,16,reviewed,nc,nc
2023-07-30T01:08:08.833Z,32.37030029,-101.6519388,7.116333008,2.3,ml,35,58,0.05177013102,0.2,tx,tx2023ottx,2023-07-31T11:25:40.169Z,"18 km SSE of Ackerly, Texas",earthquake,0.7699115115000001,0.8642094304,0.1,24,reviewed,tx,tx
2023-07-30T00:15:09.230Z,35.723,-121.132,7.45,1.5,md,32,111,0.04429,0.07,nc,nc73918066,2023-07-31T20:47:20.908Z,"10 km NNE of San Simeon, CA",earthquake,0.14,0.28,0.308,24,reviewed,nc,nc
2023-07-29T23:16:34.712Z,32.37762451,-101.6497952,8.73034668,3.3,ml,49,35,0.05262696303,0.3,tx,tx2023otqf,2023-09-30T21:36:34.040Z,"17 km SSE of Ackerly, Texas",earthquake,0.7029298409,0.9027351637,0.1,70,reviewed,tx,tx
2023-07-29T22:59:35.720Z,36.011,-120.0536667,4.12,2.55,md,54,126,0.06342,0.09,nc,nc73918051,2023-09-30T21:36:34.040Z,"7 km E of Avenal, CA",earthquake,0.27,0.57,0.151,66,reviewed,nc,nc
2023-07-29T22:33:38.440Z,36.0121667,-120.047,4.81,1.69,md,31,127,0.058,0.07,nc,nc73918041,2023-07-31T23:40:15.891Z,"7 km E of Avenal, CA",earthquake,0.29,0.66,0.26,23,reviewed,nc,nc
2023-07-29T22:26:11.800Z,45.17033333333333,-118.20566666666667,8.75,2.07,ml,9,167,0.1511,0.5,uw,uw61936162,2023-07-30T05:13:02.550Z,"19 km SSW of La Grande, Oregon",earthquake,1.51,6.92,0.17928947059769418,5,reviewed,uw,uw
2023-07-29T22:10:42.020Z,40.378,-124.0023333,26.9,1.9,md,29,67,0.05811,0.1,nc,nc73918036,2023-07-31T20:14:11.826Z,"16 km SSE of Rio Dell, CA",earthquake,0.3,0.51,0.151,22,reviewed,nc,nc
2023-07-29T21:53:51.200Z,36.1208333,-119.8518333,8.37,1.96,md,34,131,0.1475,0.16,nc,nc73918031,2023-08-01T01:54:15.711Z,"8 km SSW of Stratford, CA",earthquake,0.53,1.03,0.169,25,reviewed,nc,nc
2023-07-29T21:29:00.690Z,49.6678333333333,-114.801166666667,-2,3.07,ml,27,234,0.2872,0.26,mb,mb90022863,2023-07-30T13:47:01.540Z,"British Columbia, Canada",quarry blast,2.51,31.61,0.172677106249409,28,reviewed,mb,mb
2023-07-29T20:51:14.700Z,36.5325,-89.5946666666667,8.65,1.88,md,27,37,0.04214,0.06,nm,nm60540216,2023-07-31T12:10:02.460Z,"southeastern Missouri",earthquake,0.25,0.48,0.126372375084844,22,reviewed,nm,nm
2023-07-29T20:42:19.745Z,41.1416,-116.7878,13.1,2.9,ml,7,137.06,0.397,0.3501,nn,nn00863707,2023-09-30T21:36:34.040Z,"Nevada",earthquake,,2.8,0.34,4,reviewed,nn,nn
2023-07-29T18:38:20.490Z,35.1736666666667,-84.7823333333333,16.54,2.17,md,17,67,0.308,0.17,se,se60540181,2023-07-29T22:08:48.980Z,"7 km ENE of East Cleveland, Tennessee",earthquake,0.28,1.44,0.0582573066912504,15,reviewed,se,se
2023-07-29T17:45:08.210Z,39.7775,-124.051,-0.46,1.95,md,27,187,0.1862,0.12,nc,nc73917966,2023-07-31T19:21:14.422Z,"20 km WNW of Cape Vizcaino, CA",earthquake,0.47,1.2,0.158,24,reviewed,nc,nc
2023-07-29T17:16:49.850Z,49.32933333333333,-120.479,-0.51,1.96,ml,9,216,0.5585,0.22,uw,uw61936077,2023-07-30T19:16:37.850Z,"14 km S of Princeton, Canada",explosion,1.5,31.61,0.16347435202385663,8,reviewed,uw,uw
